Ciudad;Fecha;Gravedad del Accidente;Cantidad;Cantidad_norm
BARRANQUILLA;2013-01-01;CON HERIDOS;103;8.533936066733723
BARRANQUILLA;2013-01-01;CON MUERTOS;3;0.24856124466214727
BARRANQUILLA;2013-01-01;SOLO DAÑOS;320;26.513199430629044
BARRANQUILLA;2013-02-01;CON HERIDOS;97;8.03681357740943
BARRANQUILLA;2013-02-01;CON MUERTOS;6;0.49712248932429454
BARRANQUILLA;2013-02-01;SOLO DAÑOS;305;25.270393207318307
BARRANQUILLA;2013-03-01;CON HERIDOS;107;8.865351059616586
BARRANQUILLA;2013-03-01;CON MUERTOS;2;0.1657074964414315
BARRANQUILLA;2013-03-01;SOLO DAÑOS;377;31.23586307920984
BARRANQUILLA;2013-04-01;CON HERIDOS;122;10.108157282927323
BARRANQUILLA;2013-04-01;CON MUERTOS;1;0.08285374822071576
BARRANQUILLA;2013-04-01;SOLO DAÑOS;353;29.247373121912663
BARRANQUILLA;2013-05-01;CON HERIDOS;124;10.273864779368754
BARRANQUILLA;2013-05-01;CON MUERTOS;2;0.1657074964414315
BARRANQUILLA;2013-05-01;SOLO DAÑOS;394;32.64437679896201
BARRANQUILLA;2013-06-01;CON HERIDOS;120;9.942449786485891
BARRANQUILLA;2013-06-01;CON MUERTOS;4;0.331414992882863
BARRANQUILLA;2013-06-01;SOLO DAÑOS;384;31.81583931675485
BARRANQUILLA;2013-07-01;CON HERIDOS;69;5.716908627229388
BARRANQUILLA;2013-07-01;CON MUERTOS;3;0.24856124466214727
BARRANQUILLA;2013-07-01;SOLO DAÑOS;399;33.058645540065584
BARRANQUILLA;2013-08-01;CON HERIDOS;65;5.385493634346524
BARRANQUILLA;2013-08-01;CON MUERTOS;2;0.1657074964414315
BARRANQUILLA;2013-08-01;SOLO DAÑOS;375;31.070155582768407
BARRANQUILLA;2013-09-01;CON HERIDOS;69;5.716908627229388
BARRANQUILLA;2013-09-01;CON MUERTOS;1;0.08285374822071576
BARRANQUILLA;2013-09-01;SOLO DAÑOS;401;33.22435303650702
BARRANQUILLA;2013-10-01;CON HERIDOS;69;5.716908627229388
BARRANQUILLA;2013-10-01;CON MUERTOS;3;0.24856124466214727
BARRANQUILLA;2013-10-01;SOLO DAÑOS;424;35.12998924558348
BARRANQUILLA;2013-11-01;CON HERIDOS;75;6.214031116553682
BARRANQUILLA;2013-11-01;CON MUERTOS;2;0.1657074964414315
BARRANQUILLA;2013-11-01;SOLO DAÑOS;359;29.744495611236957
BARRANQUILLA;2013-12-01;CON HERIDOS;21;1.739928712635031
BARRANQUILLA;2013-12-01;SOLO DAÑOS;104;8.616789814954439
BARRANQUILLA;2014-01-01;CON HERIDOS;46;3.7924288280652925
BARRANQUILLA;2014-01-01;CON MUERTOS;3;0.24733231487382343
BARRANQUILLA;2014-01-01;SOLO DAÑOS;266;21.930131918812343
BARRANQUILLA;2014-02-01;CON HERIDOS;76;6.265751976803527
BARRANQUILLA;2014-02-01;CON MUERTOS;1;0.08244410495794113
BARRANQUILLA;2014-02-01;SOLO DAÑOS;299;24.6507873824244
BARRANQUILLA;2014-03-01;CON HERIDOS;104;8.574186915625878
BARRANQUILLA;2014-03-01;CON MUERTOS;1;0.08244410495794113
BARRANQUILLA;2014-03-01;SOLO DAÑOS;367;30.2569865195644
BARRANQUILLA;2014-04-01;CON HERIDOS;115;9.481072070163231
BARRANQUILLA;2014-04-01;CON MUERTOS;1;0.08244410495794113
BARRANQUILLA;2014-04-01;SOLO DAÑOS;370;30.504318834438223
BARRANQUILLA;2014-05-01;CON HERIDOS;119;9.810848489994996
BARRANQUILLA;2014-05-01;CON MUERTOS;3;0.24733231487382343
BARRANQUILLA;2014-05-01;SOLO DAÑOS;422;34.79141229225116
BARRANQUILLA;2014-06-01;CON HERIDOS;125;10.305513119742642
BARRANQUILLA;2014-06-01;CON MUERTOS;2;0.16488820991588227
BARRANQUILLA;2014-06-01;SOLO DAÑOS;386;31.82342451376528
BARRANQUILLA;2014-07-01;CON HERIDOS;129;10.635289539574407
BARRANQUILLA;2014-07-01;CON MUERTOS;9;0.7419969446214703
BARRANQUILLA;2014-07-01;SOLO DAÑOS;424;34.956300502167046
BARRANQUILLA;2014-08-01;CON HERIDOS;98;8.079522285878232
BARRANQUILLA;2014-08-01;CON MUERTOS;2;0.16488820991588227
BARRANQUILLA;2014-08-01;SOLO DAÑOS;402;33.14253019309234
BARRANQUILLA;2014-09-01;CON HERIDOS;104;8.574186915625878
BARRANQUILLA;2014-09-01;CON MUERTOS;6;0.49466462974764686
BARRANQUILLA;2014-09-01;SOLO DAÑOS;458;37.759400070737044
BARRANQUILLA;2014-10-01;CON HERIDOS;100;8.244410495794114
BARRANQUILLA;2014-10-01;CON MUERTOS;2;0.16488820991588227
BARRANQUILLA;2014-10-01;SOLO DAÑOS;426;35.121188712082926
BARRANQUILLA;2014-11-01;CON HERIDOS;79;6.51308429167735
BARRANQUILLA;2014-11-01;CON MUERTOS;14;1.154217469411176
BARRANQUILLA;2014-11-01;SOLO DAÑOS;408;33.63719482283999
BARRANQUILLA;2014-12-01;CON HERIDOS;112;9.233739755289408
BARRANQUILLA;2014-12-01;CON MUERTOS;8;0.6595528396635291
BARRANQUILLA;2014-12-01;SOLO DAÑOS;454;37.42962365090528
BARRANQUILLA;2015-01-01;CON HERIDOS;78;6.401444428486427
BARRANQUILLA;2015-01-01;CON MUERTOS;6;0.49241880219126366
BARRANQUILLA;2015-01-01;SOLO DAÑOS;376;30.85824493731919
BARRANQUILLA;2015-02-01;CON HERIDOS;89;7.304212232503745
BARRANQUILLA;2015-02-01;CON MUERTOS;5;0.41034900182605305
BARRANQUILLA;2015-02-01;SOLO DAÑOS;407;33.40240874864072
BARRANQUILLA;2015-03-01;CON HERIDOS;118;9.684236443094852
BARRANQUILLA;2015-03-01;CON MUERTOS;3;0.24620940109563183
BARRANQUILLA;2015-03-01;SOLO DAÑOS;484;39.721783376761934
BARRANQUILLA;2015-04-01;CON HERIDOS;96;7.878700835060219
BARRANQUILLA;2015-04-01;CON MUERTOS;5;0.41034900182605305
BARRANQUILLA;2015-04-01;SOLO DAÑOS;459;37.67003836763167
BARRANQUILLA;2015-05-01;CON HERIDOS;77;6.319374628121217
BARRANQUILLA;2015-05-01;CON MUERTOS;7;0.5744886025564743
BARRANQUILLA;2015-05-01;SOLO DAÑOS;452;37.0955497650752
BARRANQUILLA;2015-06-01;CON HERIDOS;89;7.304212232503745
BARRANQUILLA;2015-06-01;CON MUERTOS;11;0.9027678040173167
BARRANQUILLA;2015-06-01;SOLO DAÑOS;471;38.654875972014196
BARRANQUILLA;2015-07-01;CON HERIDOS;103;8.453189437616693
BARRANQUILLA;2015-07-01;CON MUERTOS;8;0.6565584029216849
BARRANQUILLA;2015-07-01;SOLO DAÑOS;458;37.58796856726646
BARRANQUILLA;2015-08-01;CON HERIDOS;112;9.191817640903588
BARRANQUILLA;2015-08-01;SOLO DAÑOS;486;39.885922977492356
BARRANQUILLA;2015-09-01;CON HERIDOS;95;7.796631034695008
BARRANQUILLA;2015-09-01;CON MUERTOS;4;0.32827920146084244
BARRANQUILLA;2015-09-01;SOLO DAÑOS;525;43.08664519173557
BARRANQUILLA;2015-10-01;CON HERIDOS;102;8.371119637251482
BARRANQUILLA;2015-10-01;CON MUERTOS;7;0.5744886025564743
BARRANQUILLA;2015-10-01;SOLO DAÑOS;516;42.34801698844868
BARRANQUILLA;2015-11-01;CON HERIDOS;99;8.12491023615585
BARRANQUILLA;2015-11-01;CON MUERTOS;4;0.32827920146084244
BARRANQUILLA;2015-11-01;SOLO DAÑOS;496;40.70662098114446
BARRANQUILLA;2015-12-01;CON HERIDOS;116;9.520096842364431
BARRANQUILLA;2015-12-01;CON MUERTOS;5;0.41034900182605305
BARRANQUILLA;2015-12-01;SOLO DAÑOS;488;40.05006257822278
BARRANQUILLA;2016-01-01;CON HERIDOS;76;6.211098906846592
BARRANQUILLA;2016-01-01;CON MUERTOS;1;0.08172498561640253
BARRANQUILLA;2016-01-01;SOLO DAÑOS;393;32.11791934724619
BARRANQUILLA;2016-02-01;CON HERIDOS;107;8.74457346095507
BARRANQUILLA;2016-02-01;CON MUERTOS;8;0.6537998849312202
BARRANQUILLA;2016-02-01;SOLO DAÑOS;463;37.83866834039437
BARRANQUILLA;2016-03-01;CON HERIDOS;101;8.254223547256656
BARRANQUILLA;2016-03-01;CON MUERTOS;4;0.3268999424656101
BARRANQUILLA;2016-03-01;SOLO DAÑOS;486;39.71834300957163
BARRANQUILLA;2016-04-01;CON HERIDOS;87;7.110073748627021
BARRANQUILLA;2016-04-01;CON MUERTOS;4;0.3268999424656101
BARRANQUILLA;2016-04-01;SOLO DAÑOS;500;40.86249280820127
BARRANQUILLA;2016-05-01;CON HERIDOS;103;8.41767351848946
BARRANQUILLA;2016-05-01;CON MUERTOS;11;0.8989748417804279
BARRANQUILLA;2016-05-01;SOLO DAÑOS;515;42.088367592447305
BARRANQUILLA;2016-06-01;CON HERIDOS;76;6.211098906846592
BARRANQUILLA;2016-06-01;CON MUERTOS;7;0.5720748993148177
BARRANQUILLA;2016-06-01;SOLO DAÑOS;488;39.881792980804434
BARRANQUILLA;2016-07-01;CON HERIDOS;89;7.273523719859825
BARRANQUILLA;2016-07-01;CON MUERTOS;5;0.4086249280820127
BARRANQUILLA;2016-07-01;SOLO DAÑOS;506;41.352842721899684
BARRANQUILLA;2016-08-01;CON HERIDOS;145;11.850122914378368
BARRANQUILLA;2016-08-01;CON MUERTOS;12;0.9806998273968304
BARRANQUILLA;2016-08-01;SOLO DAÑOS;524;42.82389246299493
BARRANQUILLA;2016-09-01;CON HERIDOS;125;10.215623202050317
BARRANQUILLA;2016-09-01;CON MUERTOS;14;1.1441497986296354
BARRANQUILLA;2016-09-01;SOLO DAÑOS;483;39.47316805272242
BARRANQUILLA;2016-10-01;CON HERIDOS;127;10.379073173283121
BARRANQUILLA;2016-10-01;CON MUERTOS;12;0.9806998273968304
BARRANQUILLA;2016-10-01;SOLO DAÑOS;480;39.22799309587322
BARRANQUILLA;2016-11-01;CON HERIDOS;124;10.133898216433915
BARRANQUILLA;2016-11-01;CON MUERTOS;8;0.6537998849312202
BARRANQUILLA;2016-11-01;SOLO DAÑOS;520;42.49699252052932
BARRANQUILLA;2016-12-01;CON HERIDOS;66;5.393849050682567
BARRANQUILLA;2016-12-01;CON MUERTOS;4;0.3268999424656101
BARRANQUILLA;2016-12-01;SOLO DAÑOS;487;39.80006799518803
BARRANQUILLA;2017-01-01;CON HERIDOS;68;5.536237524129447
BARRANQUILLA;2017-01-01;CON MUERTOS;6;0.4884915462467159
BARRANQUILLA;2017-01-01;SOLO DAÑOS;429;34.92714555664019
BARRANQUILLA;2017-02-01;CON HERIDOS;60;4.884915462467159
BARRANQUILLA;2017-02-01;CON MUERTOS;11;0.8955678347856458
BARRANQUILLA;2017-02-01;SOLO DAÑOS;497;40.46338308076963
BARRANQUILLA;2017-03-01;CON HERIDOS;61;4.966330720174945
BARRANQUILLA;2017-03-01;CON MUERTOS;7;0.5699068039545019
BARRANQUILLA;2017-03-01;SOLO DAÑOS;525;42.74301029658764
