Camas Adultos,Camas Cuidado Agudo Mental,Camas Cuidado Intensivo Adulto,Camas Cuidado Intensivo Neonatal,Camas Cuidado Intensivo Pediátrico,Camas Cuidado Intermedio Adulto,Camas Cuidado Intermedio Mental,Camas Cuidado Intermedio Neonatal,Camas Cuidado Intermedio Pediátrico,Camas Cuidado básico neonatal,Camas Farmacodependencia,Camas Institución Paciente Crónico,Camas Obstetricia,Camas Pediátrica,Camas Psiquiatría,Camas Salud Mental,Camas Transplante de progenitores hematopoyeticos,Camas Unidad de Quemados Adulto,Camas Unidad de Quemados Pediátrico,NIT,Naturaleza,Nivel de Atención,Nombre,Salas Partos,Salas Procedimientos,Salas Quirófano
212.0,0.0,14.0,3.0,0.0,4.0,0.0,3.0,0.0,7.0,0.0,0.0,20.0,30.0,7.0,0.0,0.0,0.0,0.0,800000118,Pública,3,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DEL QUINDIO SAN JUAN DE DIOS,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800006850,Pública,1,CENTRO DE CONSULTA EXTERNA,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800006850,Pública,1,CENTRO DE SALUD DE GRANADA - (253120038003),0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800006850,Pública,1,CENTRO DE SALUD DE SIBATE - (257400038002),0.0,1.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,800006850,Pública,1,E.S.E. HOSPITAL MARIO GAITAN YANGUAS DE SOACHA - (257540038001),2.0,1.0,3.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,800014405,Pública,1,ESE HOSPITAL SANTA ISABEL,1.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,800014884,Pública,1,E.S.E. HOSPITAL HECTOR ABAD GOMEZ,1.0,0.0,0.0
231.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,12.0,0.0,0.0,35.0,83.0,0.0,0.0,0.0,0.0,0.0,800014918,Pública,3,E.S.E HOSPITAL UNIVERSITARIO ERASMO MEOZ,2.0,4.0,9.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,800025221,Pública,1,E.S.E. HOSPITAL SAN ISIDRO - (730240104401),1.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,800026173,Pública,1,HOSPITAL HELI MORENO BLANCO E.S.E,1.0,2.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,800029509,Pública,1,ESE HOSPITAL PBRO LUIS FELIPE ARBELAEZ,1.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,800030924,Pública,1,E.S.E. HOSPITAL LA BUENA ESPERANZA,1.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,800031724,Pública,1,HOSPITAL SANTO DOMINGO E.S.E.,1.0,0.0,0.0
62.0,0.0,8.0,4.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,24.0,32.0,0.0,0.0,0.0,0.0,0.0,800037021,Pública,2,Hospital Departamental de Granada. Empresa Social del Estado,2.0,0.0,3.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,800037202,Pública,1,HOSPITAL PRIMER NIVEL DE GUAMAL,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,800037244,Pública,1,E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA,1.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,800037979,Pública,1,HOSPITAL LOCAL DE PUERTO LOPEZ ESE,2.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,800044320,Pública,1,ESE HOSPITAL EL SAGRADO CORAZON,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800044967,Pública,1,CENTRO DE SERVICIOS DE SALUD LA CABAÑA,0.0,1.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,800044967,Pública,1,CENTRO DE SERVICIOS DE SALUD LA ENEA,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800044967,Pública,1,CENTRO DE SERVICIOS DE SALUD LA GARRUCHA,0.0,1.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,800044967,Pública,1,CLINICA SAN CAYETANO,2.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,CENTRO DE SALUD MARGARITAS,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,CENTRO DE SALUD PALMITAS,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,CENTRO DE SALUD SANTA ELENA,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,800058016,Pública,2,UNIDAD DE SALUD MENTAL,0.0,0.0,0.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,UNIDAD HOSPITALARIA DE BELEN HECTOR ABAD GOMEZ,1.0,0.0,3.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,UNIDAD HOSPITALARIA DE CASTILLA JAIME TOBON ARBELAEZ,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,UNIDAD HOSPITALARIA DE MANRRIQUE HERMENEGILDO DE FEX,2.0,0.0,2.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,UNIDAD HOSPITALARIA DOCE DE OCTUBRE LUIS CARLOS GALAN SARMIENTO,1.0,0.0,0.0
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,UNIDAD HOSPITALARIA NUEVO OCCIDENTE,1.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,UNIDAD HOSPITALARIA SANTA CRUZ,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,UNIDAD PRESTADORA DE SERVICIOS DE SALUD SAN ANTONIO DE PRADO HOSPITAL DIEGO ECHAVARRIA MISAS,1.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,UNIDAD PRESTADORA DE SERVICIOS DE SALUD SAN CRISTOBAL,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800058016,Pública,2,UNIDAD PRESTADORA DE SERVICIOS DE SALUD SAN JAVIER,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,800061765,Pública,1,ESE HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,1.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,800064543,Pública,1,E.S.E. HOSPITAL INTEGRADO SABANA DE TORRES,1.0,1.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,800065395,Pública,1,EMPRESA SOCIAL DEL ESTADO HOSPITAL TOBIAS PUERTA,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,800068653,Pública,1,ESE HOSPITAL SAN JUAN DEL SUROESTE,1.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,800075650,Pública,1,ESE HOSPITAL SANTO TOMAS,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800080586,Pública,1,CENTRO DE SALUD DE FRAGUAS,0.0,1.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,800080586,Pública,1,E.S.E. HOSPITAL SAN JUAN DE DIOS,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,CENTRO DE SALUD DE GIRARDOT,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,CENTRO DE SALUD GAITAN,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,CENTRO DE SALUD LA LIBERTAD,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,CENTRO DE SALUD MUTIS,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,CENTRO DE SALUD TOLEDO PLATA,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,Centro de Salud Campo Hermoso,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,Centro de Salud Colorados,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,Centro de Salud Comuneros,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,Centro de Salud IPC,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,Centro de Salud La Joya,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,Centro de Salud Pablo VI,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,Centro de Salud Santander,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,Centro de salud El Rosario,0.0,1.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,HOSPITAL LOCAL DEL NORTE,2.0,1.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,800084206,Pública,1,UNIDAD MATERNO INFANTIL SANTA TERESITA,2.0,1.0,0.0
44.0,0.0,17.0,8.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0,0.0,0.0,0.0,0.0,800084362,Pública,2,E.S.E. HOSPITAL CIVIL DE IPIALES,1.0,1.0,4.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,800099124,Pública,1,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JOSE,1.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,800099860,Pública,2,E.S.E. HOSPITAL SAN RAFAEL DE PACHO - (255130002801),1.0,1.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800099860,Pública,2,PUESTO DE SALUD DE PAIME - (255180002803),0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800099860,Pública,2,PUESTO DE SALUD DE PASUNCHA - (255130002804),0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800099860,Pública,2,PUESTO DE SALUD DE SUPATA- (257770002806),0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800099860,Pública,2,PUESTO DE SALUD DE TOPAIPI - (258230002807),0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800099860,Pública,2,PUESTO DE SALUD DE VILLAGOMEZ - (258710002809),0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800099860,Pública,2,PUESTO DE SALUD TUDELA - (255180002808),0.0,1.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,800101022,Pública,1,ESE HOSPITAL NUESTRA SEÑORA DEL PILAR,2.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,800114286,Pública,1,E.S.E HOSPITAL SAN CAMILO DE LELIS,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,800116719,Pública,2,HOSPITAL ESPECIALIZADO GRANJA INTEGRAL E.S.E LERIDA TOLIMA,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800119945,Pública,1,ESE HOSPITAL SAN ROQUE PUESTO DE SALUD CHIMILA,1.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,800119945,Pública,1,HOSPITAL SAN ROQUE ESE,1.0,1.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,800123106,Pública,1,ESE HOSPITAL VENANCIO DIAZ DIAZ,1.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800125276,Pública,1,CENTRO DE SALUD SAN JUAN DE SAHAGUN DEL MUNICIPIO DE CARCASI,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,800125276,Pública,1,ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS,1.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,800125697,Pública,1,E.S.E. HOSPITAL NELSON RESTREPO MARTINEZ - (730550080201),1.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,800130625,Pública,2,HOSPITAL SAN CRISTÓBAL EMPRESA SOCIAL DEL ESTADO,3.0,3.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800130625,Pública,2,PUESTO DE SALUD DE PALMOR,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,800133887,Pública,1,ESE HOSPITAL SAN FRANCISCO DE ASIS,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800134339,Pública,1,ESE HOSPITAL SAN VICENTE DE PAUL DE SALENTO,1.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,800138011,Pública,1,ESE HOSPITAL LA MISERICORDIA,1.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,800138311,Pública,1,E.S.E. HOSPITLA NUESTRA SEÑORA DEL CARMEN,1.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,800138968,Pública,1,E.S.E. HOSPITAL LA ESTRELLA,1.0,0.0,0.0
111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800139366,Pública,1,HOSPITAL GENERAL SAN ISIDRO EMPRESA SOCIAL DEL ESTADO,0.0,1.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,800139704,Pública,1,E.S.E. HOSPITAL PEDRO CLAVER AGUIRRE YEPES,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,800143438,Pública,1,ESE HOSPITAL HECTOR ABAD GOMEZ,1.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,800150497,Pública,1,HOSPITAL FRANCISCO CANOSSA,1.0,1.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,800152970,Pública,2,HOSPITAL REGIONAL DE MIRAFLORES E.S.E.,0.0,0.0,1.0
